"","INSTNM","ZIP","st_fips","region","CONTROL","DEBT_MDN_SUPP","GRAD_DEBT_MDN","GRAD_DEBT_N","WDRAW_DEBT_MDN","WDRAW_DEBT_N","mn_earn_wne_p10","md_earn_wne_p10","pct10_earn_wne_p10","pct25_earn_wne_p10","pct75_earn_wne_p10","pct90_earn_wne_p10","ADM_RATE","PCTPELL","C150_4"
"1059","DeVry University-Missouri","64131-3626",29,4,3,19000,41500,11135,15954.5,80584,50600,46500,11500,27600,68100,91000,0.8808,0.6268,0.2375
"1060","Drury University","65802-3791",29,4,2,14250,22991,1010,9750,1794,36600,32200,7400,19200,47800,66800,0.8011,0.6133,0.5746
"1061","Eden Theological Seminary","63119-3192",29,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1062","Evangel University","65802",29,4,2,15317,23000,565,9722.5,760,37600,34000,6100,19800,49200,65700,0.696,0.4684,0.5248
"1063","Fontbonne University","63105-3098",29,4,2,25750,30229.5,598,19775,728,45500,40200,12400,26700,55900,81800,0.6329,0.42,0.4278
"1064","Forest Institute of Professional Psychology","65807",29,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1065","Hannibal-LaGrange University","63401-1999",29,4,2,15517.5,18750,317,10500,392,37800,33900,12800,23400,48100,64400,0.5968,0.3598,0.4453
"1066","Harris-Stowe State University","63103-2136",29,4,1,7717,21578,237,5772.5,1162,29400,27900,6100,16000,40600,53900,NA,0.7436,0.0848
"1067","Hickey College","63146",29,4,3,12598.5,15282,465,5046.5,152,30700,30500,7900,18500,40500,54300,NA,0.538,0.8392
"1068","Barnes-Jewish College Goldfarb School of Nursing","63110",29,4,2,19062,20040,545,12018,119,56000,54900,18800,37200,71000,84600,NA,0.2161,1
"1069","Kansas City Art Institute","64111-1874",29,4,2,18062.5,27749.5,174,9067.5,216,27900,25800,3400,13600,37100,48400,0.6697,0.4046,0.7674
"1070","Kenrick Glennon Seminary","63119-4399",29,4,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.0444,NA
"1071","A T Still University of Health Sciences","63501",29,4,2,NA,NA,NA,NA,NA,230700,199600,NA,NA,NA,NA,NA,NA,NA
"1072","Lincoln University","65101",29,4,1,10250,25195,426,9500,1708,32300,30300,6900,17200,44000,57700,NA,0.5973,0.2083
"1073","Lindenwood University","63301-1695",29,4,2,19500,25000,1715,15010,3534,44200,39700,12200,25400,55700,76800,0.5337,0.3712,0.4488
"1074","Logan University","63017-5529",29,4,2,7500,5500,128,8500,86,46500,36200,6700,18400,57600,89200,NA,0.2128,NA
"1075","Maryville University of Saint Louis","63141-7299",29,4,2,19000,23000,769,13737.5,944,48900,44500,15500,31000,62800,83900,0.6728,0.3568,0.6832
"1076","Midwestern Baptist Theological Seminary","64118-4697",29,4,2,10500,15250,23,6099,47,NA,NA,NA,NA,NA,NA,0.8846,0.3049,0.2
"1077","Westwood College-O'Hare Airport","60631",17,3,3,18693,31395,920,10005,1299,33900,32400,NA,NA,NA,NA,0.479,0.7779,0.5283
"1078","Missouri Baptist University","63141-8698",29,4,2,14500,18700,327,12500,1000,36100,33100,10100,22400,45700,60000,0.5838,0.2024,0.283
"1079","Missouri College","63144",29,4,3,14750,15188,1233,9959,856,27300,24600,6600,14300,35500,50700,NA,0.8288,0.6696
"1080","Missouri Southern State University","64801-1595",29,4,1,11000,20194,1077,8250,2259,35700,32800,9100,20500,45800,63500,0.9651,0.5689,0.3254
"1081","Missouri Tech","63303-3887",29,4,3,27500,42379,27,19500,60,41500,37300,10600,25600,53300,74500,1,0.3217,0.75
"1082","Missouri Valley College","65340",29,4,2,9500,23000,261,6500,878,36900,33400,8500,20100,48400,65100,0.4994,0.4676,0.2618
"1083","Missouri Western State University","64507",29,4,1,10250,20500,913,8045,2387,35700,32400,8800,20600,45800,65500,NA,0.438,0.2756
"1084","University of Missouri-Columbia","65211",29,4,1,15998,21175.5,5438,9537.5,4446,54700,46000,16200,30600,66300,94700,0.8115,0.2164,0.689
"1085","University of Missouri-Kansas City","64110",29,4,1,14625,19875,2195,11000,3030,54700,43100,11200,26300,66300,109500,0.5563,0.3239,0.435
"1086","Missouri University of Science and Technology","65409",29,4,1,17500,23949.5,352,16000,1745,64300,65500,20800,39600,83100,100500,0.8978,0.2795,0.6716
"1087","University of Missouri-St Louis","63121-4400",29,4,1,18500,21564.5,2528,15500,3823,44400,40400,10800,25700,56300,79700,0.691,0.3006,0.505
"1088","Nazarene Theological Seminary","64131-1246",29,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1089","Truman State University","63501-4221",29,4,1,15024,20052.5,1078,9250,736,47400,42700,16100,29800,59100,78600,0.7503,0.2026,0.6884
